M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100
0.5 to 1.5	50	57	4	50	0	100	50	2	50	51	50	0	3	50	56	50	0	8	2	1	0	50	57	4	50	0	100	50	2	50	51	50	0	3	50	56	50	0	8	2	1	0	50	57	4	50	0	100	50	2	50	51	50	0	3	50	56	50	0	8	2	1	0	50	57	4	50	0	100	50	2	50	51	50	0	3	50	56	50	0	8	2	1	0	50	57	4	50	0	100	50	2	50	51	50	0	3	50	56	50
0.6 to 1.6	100	57	54	50	5	100	50	2	50	55	50	10	53	50	106	100	50	14	6	1	0	100	57	54	50	5	100	50	2	50	55	50	10	53	50	106	100	50	14	6	1	0	100	57	54	50	5	100	50	2	50	55	50	10	53	50	106	100	50	14	6	1	0	100	57	54	50	5	100	50	2	50	55	50	10	53	50	106	100	50	14	6	1	0	100	57	54	50	5	100	50	2	50	55	50	10	53	50	106	100
0.7 to 1.7	100	57	54	50	5	100	50	2	50	55	50	10	53	50	106	100	50	14	6	1	0	100	57	54	50	5	100	50	2	50	55	50	10	53	50	106	100	50	14	6	1	0	100	57	54	50	5	100	50	2	50	55	50	10	53	50	106	100	50	14	6	1	0	100	57	54	50	5	100	50	2	50	55	50	10	53	50	106	100	50	14	6	1	0	100	57	54	50	5	100	50	2	50	55	50	10	53	50	106	100
0.8 to 1.8	123	73	104	50	55	150	57	52	50	110	50	13	56	50	117	150	62	66	56	1	53	123	73	104	50	55	150	57	52	50	110	50	13	56	50	117	150	62	66	56	1	53	123	73	104	50	55	150	57	52	50	110	50	13	56	50	117	150	62	66	56	1	53	123	73	104	50	55	150	57	52	50	110	50	13	56	50	117	150	62	66	56	1	53	123	73	104	50	55	150	57	52	50	110	50	13	56	50	117	150
0.9 to 1.9	136	123	112	50	55	152	57	52	100	160	50	17	106	50	124	153	66	69	56	51	103	136	123	112	50	55	152	57	52	100	160	50	17	106	50	124	153	66	69	56	51	103	136	123	112	50	55	152	57	52	100	160	50	17	106	50	124	153	66	69	56	51	103	136	123	112	50	55	152	57	52	100	160	50	17	106	50	124	153	66	69	56	51	103	136	123	112	50	55	152	57	52	100	160	50	17	106	50	124	153
1 to 2	105	125	117	50	69	166	110	107	152	216	50	67	103	2	81	203	120	121	58	105	203	105	125	117	50	69	166	110	107	152	216	50	67	103	2	81	203	120	121	58	105	203	105	125	117	50	69	166	110	107	152	216	50	67	103	2	81	203	120	121	58	105	203	105	125	117	50	69	166	110	107	152	216	50	67	103	2	81	203	120	121	58	105	203	105	125	117	50	69	166	110	107	152	216	50	67	103	2	81	203
1.1 to 2.1	113	175	167	50	73	216	110	157	202	226	50	67	114	52	89	205	121	171	59	155	253	113	175	167	50	73	216	110	157	202	226	50	67	114	52	89	205	121	171	59	155	253	113	175	167	50	73	216	110	157	202	226	50	67	114	52	89	205	121	171	59	155	253	113	175	167	50	73	216	110	157	202	226	50	67	114	52	89	205	121	171	59	155	253	113	175	167	50	73	216	110	157	202	226	50	67	114	52	89	205
1.2 to 2.2	157	198	186	100	123	222	112	161	204	231	100	79	116	59	98	206	121	221	108	163	278	157	198	186	100	123	222	112	161	204	231	100	79	116	59	98	206	121	221	108	163	278	157	198	186	100	123	222	112	161	204	231	100	79	116	59	98	206	121	221	108	163	278	157	198	186	100	123	222	112	161	204	231	100	79	116	59	98	206	121	221	108	163	278	157	198	186	100	123	222	112	161	204	231	100	79	116	59	98	206
1.3 to 2.3	157	198	236	102	173	226	115	211	254	235	109	129	124	60	125	256	122	271	115	213	281	157	198	236	102	173	226	115	211	254	235	109	129	124	60	125	256	122	271	115	213	281	157	198	236	102	173	226	115	211	254	235	109	129	124	60	125	256	122	271	115	213	281	157	198	236	102	173	226	115	211	254	235	109	129	124	60	125	256	122	271	115	213	281	157	198	236	102	173	226	115	211	254	235	109	129	124	60	125	256
1.4 to 2.4	207	198	240	152	223	176	65	211	210	201	59	179	174	60	128	256	133	266	119	212	284	207	198	240	152	223	176	65	211	210	201	59	179	174	60	128	256	133	266	119	212	284	207	198	240	152	223	176	65	211	210	201	59	179	174	60	128	256	133	266	119	212	284	207	198	240	152	223	176	65	211	210	201	59	179	174	60	128	256	133	266	119	212	284	207	198	240	152	223	176	65	211	210	201	59	179	174	60	128	256
1.5 to 2.5	236	200	298	160	238	276	120	223	264	202	109	192	176	110	128	258	142	273	219	222	294	236	200	298	160	238	276	120	223	264	202	109	192	176	110	128	258	142	273	219	222	294	236	200	298	160	238	276	120	223	264	202	109	192	176	110	128	258	142	273	219	222	294	236	200	298	160	238	276	120	223	264	202	109	192	176	110	128	258	142	273	219	222	294	236	200	298	160	238	276	120	223	264	202	109	192	176	110	128	258
1.6 to 2.6	186	200	248	160	233	276	120	223	264	198	109	182	126	110	78	208	92	267	215	222	294	186	200	248	160	233	276	120	223	264	198	109	182	126	110	78	208	92	267	215	222	294	186	200	248	160	233	276	120	223	264	198	109	182	126	110	78	208	92	267	215	222	294	186	200	248	160	233	276	120	223	264	198	109	182	126	110	78	208	92	267	215	222	294	186	200	248	160	233	276	120	223	264	198	109	182	126	110	78	208
1.7 to 2.7	236	250	248	160	234	276	124	223	264	248	109	232	133	110	78	214	101	280	225	224	294	236	250	248	160	234	276	124	223	264	248	109	232	133	110	78	214	101	280	225	224	294	236	250	248	160	234	276	124	223	264	248	109	232	133	110	78	214	101	280	225	224	294	236	250	248	160	234	276	124	223	264	248	109	232	133	110	78	214	101	280	225	224	294	236	250	248	160	234	276	124	223	264	248	109	232	133	110	78	214
1.8 to 2.8	213	234	198	160	184	226	117	173	264	193	109	229	130	110	67	164	89	228	175	224	241	213	234	198	160	184	226	117	173	264	193	109	229	130	110	67	164	89	228	175	224	241	213	234	198	160	184	226	117	173	264	193	109	229	130	110	67	164	89	228	175	224	241	213	234	198	160	184	226	117	173	264	193	109	229	130	110	67	164	89	228	175	224	241	213	234	198	160	184	226	117	173	264	193	109	229	130	110	67	164
1.9 to 2.9	250	193	200	160	234	226	119	173	264	193	122	275	90	160	60	165	85	225	180	178	191	250	193	200	160	234	226	119	173	264	193	122	275	90	160	60	165	85	225	180	178	191	250	193	200	160	234	226	119	173	264	193	122	275	90	160	60	165	85	225	180	178	191	250	193	200	160	234	226	119	173	264	193	122	275	90	160	60	165	85	225	180	178	191	250	193	200	160	234	226	119	173	264	193	122	275	90	160	60	165
2 to 3	281	234	245	111	232	212	66	166	216	141	172	229	140	158	103	165	81	175	226	124	91	281	234	245	111	232	212	66	166	216	141	172	229	140	158	103	165	81	175	226	124	91	281	234	245	111	232	212	66	166	216	141	172	229	140	158	103	165	81	175	226	124	91	281	234	245	111	232	212	66	166	216	141	172	229	140	158	103	165	81	175	226	124	91	281	234	245	111	232	212	66	166	216	141	172	229	140	158	103	165
2.1 to 3.1	280	234	200	131	278	162	116	122	216	181	222	240	136	158	98	166	82	175	225	78	91	280	234	200	131	278	162	116	122	216	181	222	240	136	158	98	166	82	175	225	78	91	280	234	200	131	278	162	116	122	216	181	222	240	136	158	98	166	82	175	225	78	91	280	234	200	131	278	162	116	122	216	181	222	240	136	158	98	166	82	175	225	78	91	280	234	200	131	278	162	116	122	216	181	222	240	136	158	98	166
2.2 to 3.2	286	261	231	81	229	156	115	168	264	226	172	240	184	151	99	168	132	128	226	120	116	286	261	231	81	229	156	115	168	264	226	172	240	184	151	99	168	132	128	226	120	116	286	261	231	81	229	156	115	168	264	226	172	240	184	151	99	168	132	128	226	120	116	286	261	231	81	229	156	115	168	264	226	172	240	184	151	99	168	132	128	226	120	116	286	261	231	81	229	156	115	168	264	226	172	240	184	151	99	168
2.3 to 3.3	286	261	181	79	179	152	112	118	214	222	163	190	176	150	72	118	131	78	219	70	113	286	261	181	79	179	152	112	118	214	222	163	190	176	150	72	118	131	78	219	70	113	286	261	181	79	179	152	112	118	214	222	163	190	176	150	72	118	131	78	219	70	113	286	261	181	79	179	152	112	118	214	222	163	190	176	150	72	118	131	78	219	70	113	286	261	181	79	179	152	112	118	214	222	163	190	176	150	72	118
2.4 to 3.4	236	211	173	29	129	152	112	118	208	206	163	140	126	150	63	68	120	78	215	70	110	236	211	173	29	129	152	112	118	208	206	163	140	126	150	63	68	120	78	215	70	110	236	211	173	29	129	152	112	118	208	206	163	140	126	150	63	68	120	78	215	70	110	236	211	173	29	129	152	112	118	208	206	163	140	126	150	63	68	120	78	215	70	110	236	211	173	29	129	152	112	118	208	206	163	140	126	150	63	68
2.5 to 3.5	217	220	169	37	170	79	107	106	165	283	114	206	181	118	140	75	114	171	134	61	157	217	220	169	37	170	79	107	106	165	283	114	206	181	118	140	75	114	171	134	61	157	217	220	169	37	170	79	107	106	165	283	114	206	181	118	140	75	114	171	134	61	157	217	220	169	37	170	79	107	106	165	283	114	206	181	118	140	75	114	171	134	61	157	217	220	169	37	170	79	107	106	165	283	114	206	181	118	140	75
2.6 to 3.6	217	225	219	40	175	129	107	114	165	333	114	256	185	121	140	75	124	180	154	62	160	217	225	219	40	175	129	107	114	165	333	114	256	185	121	140	75	124	180	154	62	160	217	225	219	40	175	129	107	114	165	333	114	256	185	121	140	75	124	180	154	62	160	217	225	219	40	175	129	107	114	165	333	114	256	185	121	140	75	124	180	154	62	160	217	225	219	40	175	129	107	114	165	333	114	256	185	121	140	75
2.7 to 3.7	167	175	219	40	174	129	103	114	165	283	114	206	178	121	140	69	115	167	144	60	160	167	175	219	40	174	129	103	114	165	283	114	206	178	121	140	69	115	167	144	60	160	167	175	219	40	174	129	103	114	165	283	114	206	178	121	140	69	115	167	144	60	160	167	175	219	40	174	129	103	114	165	283	114	206	178	121	140	69	115	167	144	60	160	167	175	219	40	174	129	103	114	165	283	114	206	178	121	140	69
2.8 to 3.8	176	180	219	90	174	131	112	114	215	289	116	256	183	121	140	74	165	174	157	63	210	176	180	219	90	174	131	112	114	215	289	116	256	183	121	140	74	165	174	157	63	210	176	180	219	90	174	131	112	114	215	289	116	256	183	121	140	74	165	174	157	63	210	176	180	219	90	174	131	112	114	215	289	116	256	183	121	140	74	165	174	157	63	210	176	180	219	90	174	131	112	114	215	289	116	256	183	121	140	74
2.9 to 3.9	149	207	277	148	150	163	175	126	225	247	158	308	208	73	251	125	307	257	171	74	283	149	207	277	148	150	163	175	126	225	247	158	308	208	73	251	125	307	257	171	74	283	149	207	277	148	150	163	175	126	225	247	158	308	208	73	251	125	307	257	171	74	283	149	207	277	148	150	163	175	126	225	247	158	308	208	73	251	125	307	257	171	74	283	149	207	277	148	150	163	175	126	225	247	158	308	208	73	251	125
3 to 4	99	157	227	147	138	113	175	76	221	242	108	304	158	73	201	75	257	252	121	74	283	99	157	227	147	138	113	175	76	221	242	108	304	158	73	201	75	257	252	121	74	283	99	157	227	147	138	113	175	76	221	242	108	304	158	73	201	75	257	252	121	74	283	99	157	227	147	138	113	175	76	221	242	108	304	158	73	201	75	257	252	121	74	283	99	157	227	147	138	113	175	76	221	242	108	304	158	73	201	75
3.1 to 4.1	101	157	224	129	138	116	125	70	176	210	65	298	168	45	215	76	260	227	121	70	234	101	157	224	129	138	116	125	70	176	210	65	298	168	45	215	76	260	227	121	70	234	101	157	224	129	138	116	125	70	176	210	65	298	168	45	215	76	260	227	121	70	234	101	157	224	129	138	116	125	70	176	210	65	298	168	45	215	76	260	227	121	70	234	101	157	224	129	138	116	125	70	176	210	65	298	168	45	215	76
3.2 to 4.2	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123	214	228	71	23	187	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123	214	228	71	23	187	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123	214	228	71	23	187	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123	214	228	71	23	187	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123
3.3 to 4.3	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123	214	228	71	23	187	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123	214	228	71	23	187	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123	214	228	71	23	187	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123	214	228	71	23	187	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123
3.4 to 4.4	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123	214	228	71	23	187	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123	214	228	71	23	187	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123	214	228	71	23	187	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123	214	228	71	23	187	101	157	174	129	141	116	124	29	126	160	69	286	168	59	207	123
3.5 to 4.5	91	146	120	113	85	89	74	29	115	82	68	207	111	41	130	114	211	128	52	22	130	91	146	120	113	85	89	74	29	115	82	68	207	111	41	130	114	211	128	52	22	130	91	146	120	113	85	89	74	29	115	82	68	207	111	41	130	114	211	128	52	22	130	91	146	120	113	85	89	74	29	115	82	68	207	111	41	130	114	211	128	52	22	130	91	146	120	113	85	89	74	29	115	82	68	207	111	41	130	114
3.6 to 4.6	181	195	86	115	145	94	93	131	197	47	86	234	265	52	241	140	355	229	96	40	228	181	195	86	115	145	94	93	131	197	47	86	234	265	52	241	140	355	229	96	40	228	181	195	86	115	145	94	93	131	197	47	86	234	265	52	241	140	355	229	96	40	228	181	195	86	115	145	94	93	131	197	47	86	234	265	52	241	140	355	229	96	40	228	181	195	86	115	145	94	93	131	197	47	86	234	265	52	241	140
3.7 to 4.7	181	195	86	115	145	94	93	131	197	47	86	234	265	52	241	140	355	229	96	40	228	181	195	86	115	145	94	93	131	197	47	86	234	265	52	241	140	355	229	96	40	228	181	195	86	115	145	94	93	131	197	47	86	234	265	52	241	140	355	229	96	40	228	181	195	86	115	145	94	93	131	197	47	86	234	265	52	241	140	355	229	96	40	228	181	195	86	115	145	94	93	131	197	47	86	234	265	52	241	140
3.8 to 4.8	222	240	179	74	201	144	112	209	197	94	150	195	295	59	335	187	340	240	124	87	188	222	240	179	74	201	144	112	209	197	94	150	195	295	59	335	187	340	240	124	87	188	222	240	179	74	201	144	112	209	197	94	150	195	295	59	335	187	340	240	124	87	188	222	240	179	74	201	144	112	209	197	94	150	195	295	59	335	187	340	240	124	87	188	222	240	179	74	201	144	112	209	197	94	150	195	295	59	335	187
3.9 to 4.9	199	204	111	16	175	110	47	197	137	86	95	93	260	57	224	132	198	157	105	72	115	199	204	111	16	175	110	47	197	137	86	95	93	260	57	224	132	198	157	105	72	115	199	204	111	16	175	110	47	197	137	86	95	93	260	57	224	132	198	157	105	72	115	199	204	111	16	175	110	47	197	137	86	95	93	260	57	224	132	198	157	105	72	115	199	204	111	16	175	110	47	197	137	86	95	93	260	57	224	132
4 to 5	199	204	111	16	175	110	47	197	137	86	95	93	260	57	224	132	198	157	105	72	115	199	204	111	16	175	110	47	197	137	86	95	93	260	57	224	132	198	157	105	72	115	199	204	111	16	175	110	47	197	137	86	95	93	260	57	224	132	198	157	105	72	115	199	204	111	16	175	110	47	197	137	86	95	93	260	57	224	132	198	157	105	72	115	199	204	111	16	175	110	47	197	137	86	95	93	260	57	224	132
4.1 to 5.1	212	166	136	64	127	134	48	204	132	76	121	126	278	36	214	144	211	137	114	77	130	212	166	136	64	127	134	48	204	132	76	121	126	278	36	214	144	211	137	114	77	130	212	166	136	64	127	134	48	204	132	76	121	126	278	36	214	144	211	137	114	77	130	212	166	136	64	127	134	48	204	132	76	121	126	278	36	214	144	211	137	114	77	130	212	166	136	64	127	134	48	204	132	76	121	126	278	36	214	144
4.2 to 5.2	162	116	136	64	123	134	48	195	132	76	117	126	228	22	212	94	207	133	114	74	127	162	116	136	64	123	134	48	195	132	76	117	126	228	22	212	94	207	133	114	74	127	162	116	136	64	123	134	48	195	132	76	117	126	228	22	212	94	207	133	114	74	127	162	116	136	64	123	134	48	195	132	76	117	126	228	22	212	94	207	133	114	74	127	162	116	136	64	123	134	48	195	132	76	117	126	228	22	212	94
4.3 to 5.3	175	120	140	114	144	141	64	203	137	79	117	147	231	22	262	94	215	148	137	82	127	175	120	140	114	144	141	64	203	137	79	117	147	231	22	262	94	215	148	137	82	127	175	120	140	114	144	141	64	203	137	79	117	147	231	22	262	94	215	148	137	82	127	175	120	140	114	144	141	64	203	137	79	117	147	231	22	262	94	215	148	137	82	127	175	120	140	114	144	141	64	203	137	79	117	147	231	22	262	94
4.4 to 5.4	249	174	149	172	179	141	126	213	237	139	118	147	263	44	313	102	265	205	149	94	132	249	174	149	172	179	141	126	213	237	139	118	147	263	44	313	102	265	205	149	94	132	249	174	149	172	179	141	126	213	237	139	118	147	263	44	313	102	265	205	149	94	132	249	174	149	172	179	141	126	213	237	139	118	147	263	44	313	102	265	205	149	94	132	249	174	149	172	179	141	126	213	237	139	118	147	263	44	313	102
4.5 to 5.5	249	174	149	172	179	141	126	213	237	139	118	147	263	44	313	102	265	205	149	94	132	249	174	149	172	179	141	126	213	237	139	118	147	263	44	313	102	265	205	149	94	132	249	174	149	172	179	141	126	213	237	139	118	147	263	44	313	102	265	205	149	94	132	249	174	149	172	179	141	126	213	237	139	118	147	263	44	313	102	265	205	149	94	132	249	174	149	172	179	141	126	213	237	139	118	147	263	44	313	102
4.6 to 5.6	216	135	161	195	118	106	108	161	164	175	106	88	152	41	232	90	168	132	150	125	31	216	135	161	195	118	106	108	161	164	175	106	88	152	41	232	90	168	132	150	125	31	216	135	161	195	118	106	108	161	164	175	106	88	152	41	232	90	168	132	150	125	31	216	135	161	195	118	106	108	161	164	175	106	88	152	41	232	90	168	132	150	125	31	216	135	161	195	118	106	108	161	164	175	106	88	152	41	232	90
4.7 to 5.7	266	135	167	198	121	130	158	189	164	181	120	94	202	43	232	90	218	182	200	175	35	266	135	167	198	121	130	158	189	164	181	120	94	202	43	232	90	218	182	200	175	35	266	135	167	198	121	130	158	189	164	181	120	94	202	43	232	90	218	182	200	175	35	266	135	167	198	121	130	158	189	164	181	120	94	202	43	232	90	218	182	200	175	35	266	135	167	198	121	130	158	189	164	181	120	94	202	43	232	90
4.8 to 5.8	216	85	74	189	65	78	130	111	114	128	54	83	167	36	138	38	183	164	159	125	25	216	85	74	189	65	78	130	111	114	128	54	83	167	36	138	38	183	164	159	125	25	216	85	74	189	65	78	130	111	114	128	54	83	167	36	138	38	183	164	159	125	25	216	85	74	189	65	78	130	111	114	128	54	83	167	36	138	38	183	164	159	125	25	216	85	74	189	65	78	130	111	114	128	54	83	167	36	138	38
4.9 to 5.9	246	143	77	206	73	104	191	129	171	139	112	100	176	90	167	49	236	219	175	134	85	246	143	77	206	73	104	191	129	171	139	112	100	176	90	167	49	236	219	175	134	85	246	143	77	206	73	104	191	129	171	139	112	100	176	90	167	49	236	219	175	134	85	246	143	77	206	73	104	191	129	171	139	112	100	176	90	167	49	236	219	175	134	85	246	143	77	206	73	104	191	129	171	139	112	100	176	90	167	49
5 to 6	265	155	99	282	118	156	243	134	221	148	133	102	218	142	231	99	269	245	203	157	95	265	155	99	282	118	156	243	134	221	148	133	102	218	142	231	99	269	245	203	157	95	265	155	99	282	118	156	243	134	221	148	133	102	218	142	231	99	269	245	203	157	95	265	155	99	282	118	156	243	134	221	148	133	102	218	142	231	99	269	245	203	157	95	265	155	99	282	118	156	243	134	221	148	133	102	218	142	231	99
5.1 to 6.1	274	155	77	248	119	141	242	163	249	190	114	111	183	191	258	183	307	293	197	163	86	274	155	77	248	119	141	242	163	249	190	114	111	183	191	258	183	307	293	197	163	86	274	155	77	248	119	141	242	163	249	190	114	111	183	191	258	183	307	293	197	163	86	274	155	77	248	119	141	242	163	249	190	114	111	183	191	258	183	307	293	197	163	86	274	155	77	248	119	141	242	163	249	190	114	111	183	191	258	183
5.2 to 6.2	274	155	77	248	119	141	242	163	249	190	114	111	183	191	258	183	307	293	197	163	86	274	155	77	248	119	141	242	163	249	190	114	111	183	191	258	183	307	293	197	163	86	274	155	77	248	119	141	242	163	249	190	114	111	183	191	258	183	307	293	197	163	86	274	155	77	248	119	141	242	163	249	190	114	111	183	191	258	183	307	293	197	163	86	274	155	77	248	119	141	242	163	249	190	114	111	183	191	258	183
5.3 to 6.3	261	151	73	198	98	134	226	155	244	187	114	90	180	191	208	183	299	278	174	155	86	261	151	73	198	98	134	226	155	244	187	114	90	180	191	208	183	299	278	174	155	86	261	151	73	198	98	134	226	155	244	187	114	90	180	191	208	183	299	278	174	155	86	261	151	73	198	98	134	226	155	244	187	114	90	180	191	208	183	299	278	174	155	86	261	151	73	198	98	134	226	155	244	187	114	90	180	191	208	183
5.4 to 6.4	187	97	64	140	63	134	164	145	144	127	113	90	148	169	157	175	249	221	162	143	81	187	97	64	140	63	134	164	145	144	127	113	90	148	169	157	175	249	221	162	143	81	187	97	64	140	63	134	164	145	144	127	113	90	148	169	157	175	249	221	162	143	81	187	97	64	140	63	134	164	145	144	127	113	90	148	169	157	175	249	221	162	143	81	187	97	64	140	63	134	164	145	144	127	113	90	148	169	157	175
5.5 to 6.5	187	97	64	140	63	134	164	145	144	127	113	90	148	169	157	175	249	221	162	143	81	187	97	64	140	63	134	164	145	144	127	113	90	148	169	157	175	249	221	162	143	81	187	97	64	140	63	134	164	145	144	127	113	90	148	169	157	175	249	221	162	143	81	187	97	64	140	63	134	164	145	144	127	113	90	148	169	157	175	249	221	162	143	81	187	97	64	140	63	134	164	145	144	127	113	90	148	169	157	175
5.6 to 6.6	130	82	36	112	59	114	163	87	135	76	107	72	101	158	127	161	192	184	97	93	81	130	82	36	112	59	114	163	87	135	76	107	72	101	158	127	161	192	184	97	93	81	130	82	36	112	59	114	163	87	135	76	107	72	101	158	127	161	192	184	97	93	81	130	82	36	112	59	114	163	87	135	76	107	72	101	158	127	161	192	184	97	93	81	130	82	36	112	59	114	163	87	135	76	107	72	101	158	127	161
5.7 to 6.7	130	124	34	109	69	140	121	75	160	120	117	95	89	180	139	172	151	184	56	57	112	130	124	34	109	69	140	121	75	160	120	117	95	89	180	139	172	151	184	56	57	112	130	124	34	109	69	140	121	75	160	120	117	95	89	180	139	172	151	184	56	57	112	130	124	34	109	69	140	121	75	160	120	117	95	89	180	139	172	151	184	56	57	112	130	124	34	109	69	140	121	75	160	120	117	95	89	180	139	172
